Fecha de operación; Precio ;;
10/6/2004; $ 335,00 ;;
11/6/2004; $ 333,80 ;;
14/6/2004; $ 334,70 ;;
15/6/2004; $ 325,00 ;;
16/6/2004; $ 320,00 ;;
17/6/2004; $ 315,00 ;;
18/6/2004; $ 315,00 ;;
22/6/2004; $ 310,00 ;;
23/6/2004; $ 310,00 ;;
24/6/2004; $ 310,00 ;;
25/6/2004; $ 310,00 ;;
28/6/2004; $ 310,00 ;;
29/6/2004; $ 310,00 ;;
30/6/2004; $ 310,00 ;;
1/7/2004; $ 310,00 ;;
2/7/2004; $ 310,00 ;;
5/7/2004; $ 313,00 ;;
6/7/2004; $ 315,00 ;;
7/7/2004; $ 320,20 ;;
8/7/2004; $ 320,00 ;;
12/7/2004; $ 325,00 ;;
13/7/2004; $ 330,00 ;;
14/7/2004; $ 325,00 ;;
15/7/2004; $ 315,20 ;;
16/7/2004; $ 310,00 ;;
19/7/2004; $ 314,50 ;;
20/7/2004; $ 313,00 ;;
21/7/2004; $ 308,00 ;;
22/7/2004; $ 310,00 ;;
23/7/2004; $ 315,00 ;;
26/7/2004; $ 310,00 ;;
27/7/2004; $ 309,90 ;;
28/7/2004; $ 305,00 ;;
29/7/2004; $ 305,00 ;;
30/7/2004; $ 300,00 ;;
2/8/2004; $ 299,90 ;;
3/8/2004; $ 300,00 ;;
4/8/2004; $ 300,00 ;;
5/8/2004; $ 304,50 ;;
6/8/2004; $ 305,00 ;;
9/8/2004; $ 304,80 ;;
10/8/2004; $ 299,90 ;;
11/8/2004; $ 290,00 ;;
12/8/2004; $ 280,00 ;;
13/8/2004; $ 285,00 ;;
17/8/2004; $ 297,00 ;;
18/8/2004; $ 295,00 ;;
19/8/2004; $ 300,00 ;;
20/8/2004; $ 291,00 ;;
23/8/2004; $ 290,00 ;;
24/8/2004; $ 290,00 ;;
25/8/2004; $ 290,00 ;;
26/8/2004; $ 290,00 ;;
27/8/2004; $ 290,00 ;;
30/8/2004; $ 295,00 ;;
31/8/2004; $ 295,00 ;;
1/9/2004; $ 295,00 ;;
2/9/2004; $ 290,00 ;;
3/9/2004; $ 290,00 ;;
6/9/2004; $ 290,00 ;;
7/9/2004; $ 290,00 ;;
8/9/2004; $ 290,00 ;;
9/9/2004; $ 294,40 ;;
10/9/2004; $ 299,80 ;;
13/9/2004; $ 293,20 ;;
14/9/2004; $ 295,00 ;;
15/9/2004; $ 297,10 ;;
16/9/2004; $ 300,00 ;;
17/9/2004; $ 299,80 ;;
20/9/2004; $ 295,00 ;;
21/9/2004; $ 295,00 ;;
22/9/2004; $ 295,00 ;;
23/9/2004; $ 299,80 ;;
24/9/2004; $ 305,00 ;;
27/9/2004; $ 305,00 ;;
28/9/2004; $ 305,00 ;;
29/9/2004; $ 305,00 ;;
30/9/2004; $ 295,00 ;;
1/10/2004; $ 294,80 ;;
4/10/2004; $ 295,00 ;;
5/10/2004; $ 295,00 ;;
6/10/2004; $ 295,00 ;;
8/10/2004; $ 294,70 ;;
12/10/2004; $ 290,00 ;;
13/10/2004; $ 290,00 ;;
14/10/2004; $ 289,90 ;;
15/10/2004; $ 285,00 ;;
18/10/2004; $ 283,30 ;;
19/10/2004; $ 280,00 ;;
20/10/2004; $ 280,00 ;;
21/10/2004; $ 279,80 ;;
22/10/2004; $ 270,00 ;;
25/10/2004; $ 272,30 ;;
26/10/2004; $ 275,40 ;;
27/10/2004; $ 275,00 ;;
28/10/2004; $ 275,00 ;;
29/10/2004; $ 275,10 ;;
1/11/2004; $ 271,50 ;;
2/11/2004; $ 265,50 ;;
3/11/2004; $ 266,50 ;;
4/11/2004; $ 265,10 ;;
5/11/2004; $ 270,00 ;;
8/11/2004; $ 267,70 ;;
9/11/2004; $ 267,70 ;;
10/11/2004; $ 269,90 ;;
11/11/2004; $ 270,00 ;;
12/11/2004; $ 272,10 ;;
15/11/2004; $ 274,90 ;;
16/11/2004; $ 273,00 ;;
17/11/2004; $ 275,30 ;;
18/11/2004; $ 271,10 ;;
19/11/2004; $ 265,20 ;;
22/11/2004; $ 259,90 ;;
23/11/2004; $ 256,70 ;;
24/11/2004; $ 259,60 ;;
25/11/2004; $ 260,00 ;;
26/11/2004; $ 260,00 ;;
29/11/2004; $ 254,80 ;;
30/11/2004; $ 254,50 ;;
1/12/2004; $ 255,00 ;;
2/12/2004; $ 254,90 ;;
3/12/2004; $ 255,10 ;;
6/12/2004; $ 258,10 ;;
7/12/2004; $ 260,40 ;;
9/12/2004; $ 260,20 ;;
10/12/2004; $ 255,00 ;;
13/12/2004; $ 248,60 ;;
14/12/2004; $ 248,00 ;;
15/12/2004; $ 250,20 ;;
16/12/2004; $ 252,20 ;;
17/12/2004; $ 252,50 ;;
20/12/2004; $ 254,60 ;;
21/12/2004; $ 252,20 ;;
22/12/2004; $ 255,20 ;;
23/12/2004; $ 255,00 ;;
27/12/2004; $ 250,10 ;;
28/12/2004; $ 250,10 ;;
29/12/2004; $ 251,40 ;;
30/12/2004; $ 251,70 ;;
3/1/2005; $ 247,00 ;;
4/1/2005; $ 245,20 ;;
5/1/2005; $ 247,20 ;;
6/1/2005; $ 250,00 ;;
7/1/2005; $ 252,00 ;;
10/1/2005; $ 251,90 ;;
11/1/2005; $ 252,00 ;;
12/1/2005; $ 250,00 ;;
13/1/2005; $ 247,00 ;;
14/1/2005; $ 245,00 ;;
17/1/2005; $ 245,00 ;;
18/1/2005; $ 246,80 ;;
19/1/2005; $ 248,00 ;;
20/1/2005; $ 246,10 ;;
21/1/2005; $ 240,00 ;;
24/1/2005; $ 239,90 ;;
25/1/2005; $ 235,00 ;;
26/1/2005; $ 231,90 ;;
27/1/2005; $ 230,00 ;;
28/1/2005; $ 230,00 ;;
31/1/2005; $ 231,90 ;;
1/2/2005; $ 235,00 ;;
2/2/2005; $ 237,30 ;;
3/2/2005; $ 242,10 ;;
4/2/2005; $ 242,00 ;;
7/2/2005; $ 242,00 ;;
8/2/2005; $ 245,00 ;;
9/2/2005; $ 249,70 ;;
10/2/2005; $ 255,00 ;;
11/2/2005; $ 260,00 ;;
14/2/2005; $ 260,00 ;;
15/2/2005; $ 259,80 ;;
16/2/2005; $ 259,50 ;;
17/2/2005; $ 259,90 ;;
18/2/2005; $ 259,90 ;;
21/2/2005; $ 260,00 ;;
22/2/2005; $ 265,40 ;;
23/2/2005; $ 270,30 ;;
24/2/2005; $ 274,50 ;;
25/2/2005; $ 290,50 ;;
28/2/2005; $ 302,00 ;;
1/3/2005; $ 301,90 ;;
2/3/2005; $ 295,60 ;;
3/3/2005; $ 287,20 ;;
4/3/2005; $ 282,00 ;;
7/3/2005; $ 275,60 ;;
8/3/2005; $ 270,70 ;;
9/3/2005; $ 274,10 ;;
10/3/2005; $ 272,70 ;;
11/3/2005; $ 291,50 ;;
14/3/2005; $ 291,30 ;;
15/3/2005; $ 299,70 ;;
16/3/2005; $ 291,20 ;;
17/3/2005; $ 292,70 ;;
18/3/2005; $ 291,30 ;;
21/3/2005; $ 280,60 ;;
22/3/2005; $ 287,50 ;;
23/3/2005; $ 291,50 ;;
